run_key,tag,model,task,task_type,split,seed,fold,roc_auc,pr_auc,f1,rmse,mae,r2,val_roc_auc,val_pr_auc,val_f1,val_rmse,val_mae,val_r2,best_epoch,epochs_run,n_params,wall_time_s,n_train,n_val,n_test,config,cfg_hash,max_epochs,patience,device,torch_version,error
rf|bbbp|random|42|0|cfg3|b6b0971be3,cfg3,rf,bbbp,clf,random,42,0,0.9223862149192962,0.9665110083797351,0.941747572815534,,,,0.9306306306306307,0.976621516913477,0.9140625,,,,-1,0,0,24.8,1405,157,391,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",b6b0971be3,60,10,cpu,2.7.0+cpu,
rf|bbbp|scaffold|42|0|cfg3|b6b0971be3,cfg3,rf,bbbp,clf,scaffold,42,0,0.9336641852770885,0.9784442180850567,0.9570747217806042,,,,0.8874391862007961,0.9613688964566804,0.8806584362139918,,,,-1,0,0,24.3,1408,157,388,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",b6b0971be3,60,10,cpu,2.7.0+cpu,
rf|bbbp|random|42|0|cfg1|c86bf6a1fe,cfg1,rf,bbbp,clf,random,42,0,0.9202595608550239,0.9653215051134334,0.9363057324840764,,,,0.9417792792792792,0.981756686589163,0.9147286821705426,,,,-1,0,0,29.3,1405,157,391,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",c86bf6a1fe,60,10,cpu,2.7.0+cpu,
rf|bbbp|scaffold|42|0|cfg1|c86bf6a1fe,cfg1,rf,bbbp,clf,scaffold,42,0,0.9400124069478909,0.9779518655920197,0.9605055292259084,,,,0.8970588235294117,0.9655543888001921,0.8932806324110671,,,,-1,0,0,29.1,1408,157,388,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",c86bf6a1fe,60,10,cpu,2.7.0+cpu,
rf|bbbp|scaffold|42|0|cfg2|29e6f4c405,cfg2,rf,bbbp,clf,scaffold,42,0,0.9271298593879238,0.9756738067172541,0.956386292834891,,,,0.8909774436090225,0.9615039328119909,0.9076923076923077,,,,-1,0,0,29.1,1408,157,388,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",29e6f4c405,60,10,cpu,2.7.0+cpu,
rf|bbbp|random|42|0|cfg2|29e6f4c405,cfg2,rf,bbbp,clf,random,42,0,0.9175876108768358,0.9661696666364378,0.9235569422776911,,,,0.9180180180180181,0.9701601523497365,0.9007633587786259,,,,-1,0,0,30.8,1405,157,391,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",29e6f4c405,60,10,cpu,2.7.0+cpu,
rf|bbbp|scaffold|42|0|cfg0|edfef33ce5,cfg0,rf,bbbp,clf,scaffold,42,0,0.9350289495450786,0.9761811323562504,0.9605055292259084,,,,0.8825740822644847,0.9565314031856602,0.9011857707509882,,,,-1,0,0,36.4,1408,157,388,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",edfef33ce5,60,10,cpu,2.7.0+cpu,
rf|bbbp|random|42|0|cfg0|edfef33ce5,cfg0,rf,bbbp,clf,random,42,0,0.9128253598953031,0.9575413315509185,0.9333333333333333,,,,0.9356981981981982,0.9793923498357128,0.918918918918919,,,,-1,0,0,37.9,1405,157,391,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",edfef33ce5,60,10,cpu,2.7.0+cpu,
rf|esol|random|42|0|cfg1|d4d5d43cfb,cfg1,rf,esol,reg,random,42,0,,,,0.6743627448922874,0.5167344036679731,0.503638887721529,,,,0.8020256288247098,0.6057848967962731,0.4435905637485714,-1,0,0,11.9,799,89,223,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",d4d5d43cfb,60,10,cpu,2.7.0+cpu,
rf|esol|scaffold|42|0|cfg1|d4d5d43cfb,cfg1,rf,esol,reg,scaffold,42,0,,,,0.8346618450824194,0.6937966472376912,-0.45424415342857904,,,,0.721123222691239,0.5552044960363872,0.6115308061665442,-1,0,0,10.8,772,86,253,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",d4d5d43cfb,60,10,cpu,2.7.0+cpu,
rf|esol|random|42|0|cfg0|429cc9bc82,cfg0,rf,esol,reg,random,42,0,,,,0.5155936060243818,0.3900414441523116,0.7098479418354485,,,,0.6387673948060972,0.46664113837671656,0.6470578932905625,-1,0,0,22.2,799,89,223,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",429cc9bc82,60,10,cpu,2.7.0+cpu,
rf|esol|scaffold|42|0|cfg0|429cc9bc82,cfg0,rf,esol,reg,scaffold,42,0,,,,0.9264437129210428,0.769752644661142,-0.7916545682441427,,,,0.5568198695324768,0.393366045339994,0.7683847933058349,-1,0,0,21.8,772,86,253,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",429cc9bc82,60,10,cpu,2.7.0+cpu,
rf|freesolv|random|42|0|cfg0|429cc9bc82,cfg0,rf,freesolv,reg,random,42,0,,,,0.6361870015054748,0.4039757884942673,0.6139742826737571,,,,0.8844810320251092,0.4368012492593758,0.5009470744787983,-1,0,0,13.9,461,52,129,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",429cc9bc82,60,10,cpu,2.7.0+cpu,
rf|freesolv|random|42|0|cfg1|d4d5d43cfb,cfg1,rf,freesolv,reg,random,42,0,,,,0.7695722445077429,0.5444252969693022,0.43513398304388184,,,,1.0240402460796088,0.599442382167473,0.33103467242292883,-1,0,0,6.5,461,52,129,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",d4d5d43cfb,60,10,cpu,2.7.0+cpu,
rf|esol|random|42|0|cfg3|4474551912,cfg3,rf,esol,reg,random,42,0,,,,0.574256754501226,0.4278573744706057,0.6400660322301549,,,,0.671545397888123,0.4954430413334146,0.6099064691316003,-1,0,0,49.7,799,89,223,"{""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 500}",4474551912,60,10,cpu,2.7.0+cpu,
rf|freesolv|random|42|0|cfg3|4474551912,cfg3,rf,freesolv,reg,random,42,0,,,,0.6482512887751067,0.4377497458581677,0.5991947204756454,,,,0.8666994287295097,0.4431976459295765,0.5208112881510771,-1,0,0,20.0,461,52,129,"{""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 500}",4474551912,60,10,cpu,2.7.0+cpu,
rf|esol|scaffold|42|0|cfg3|4474551912,cfg3,rf,esol,reg,scaffold,42,0,,,,1.0236706909472766,0.874454452608929,-1.1874429867830854,,,,0.5313527154621145,0.38408193588295386,0.789086960757309,-1,0,0,42.4,772,86,253,"{""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 500}",4474551912,60,10,cpu,2.7.0+cpu,
rf|freesolv|scaffold|42|0|cfg1|d4d5d43cfb,cfg1,rf,freesolv,reg,scaffold,42,0,,,,0.7048659236800117,0.6056965732465299,0.2233552354414302,,,,0.6203820506706871,0.4774608775705717,0.4453286851250199,-1,0,0,6.1,441,49,152,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",d4d5d43cfb,60,10,cpu,2.7.0+cpu,
rf|freesolv|random|42|0|cfg2|e85f1c4d9f,cfg2,rf,freesolv,reg,random,42,0,,,,0.593109275410674,0.3650821244458078,0.6644817966477592,,,,0.8827209045072697,0.4073313700754512,0.5029313403825205,-1,0,0,26.8,461,52,129,"{""max_features"": 0.3, ""min_samples_leaf"": 1, ""n_estimators"": 500}",e85f1c4d9f,60,10,cpu,2.7.0+cpu,
rf|freesolv|scaffold|42|0|cfg0|429cc9bc82,cfg0,rf,freesolv,reg,scaffold,42,0,,,,0.5826211816745922,0.49487565637018893,0.4693820619257789,,,,0.4706672434357572,0.33374461989646287,0.6807394870710991,-1,0,0,13.9,441,49,152,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",429cc9bc82,60,10,cpu,2.7.0+cpu,
